title,soldprice,link
Apple iPhone 11 Pro Max A2161 ATT T-Mobile Verizon Factory Unlocked - VERY GOOD,"IDR9,414,285.71 to IDR10,128,571.43",https://www.ebay.com/itm/255107476973?epid=11037566785&_trkparms=ispr%3D1&hash=item3b65972ded:g:J9YAAOSwHkhh1hIr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dj5VZn5Gf1K%252BIfSBa%252BxMHI6YI3SAKNAWPiXK44X6%252F07GjyBuJdRLfC%252FOWIXr5j%252FTerafnwCzPJkZNc2wTsGOws%252BK1%252FJ8EYVo7mLRBin5u5CvIY9iAfFXqem3jnTY2GTWxt42qShUjjLv258ZgAGwfZ1vyXReXh2B6bhk8%252FUxXBj5yELUda4FHtfM9A0bvER7YT2B%252BVmqC7M1HBFKF9P0WWCfWtUP05mtQc2nODNA6uFU20nwoCbwUF0I5xdzvTDKpSvNKN1op8iCDcneZPac0TknI%252BPc4bdiOAHJXruSvJECelhgjBIWvvwFZQ%252Fp0t%252FHI7YcpxEWn%252Bc1IgGGR3Dkjc7ZsjjQuPwbfDvFl2j4vmRA95ABHEuS2ojRIqRrCHG7uQJw25dBGPsr1gZYd7dIVKdOgVKfbdLMn0j50HJhj2ZLz4F3MuY%252B3j5FhRA7f2AZIzJLcXfdC06Phnd9e%252FKaSEYirTddEIL0TmQqehlVU3wo8F957blVVFjl6WC9u89XTvulZSybYdLiir9His%252FeOgm%252F7IzY9tlSYqtIhtsH7674y%252FAEGGypxynbtp2uXfNaBdt6gpWUmGj8QavZVnmx%252BK2Vnp35jIomrq4GAomH6CcNid%252Bn51l56BsgWy6XQR4ITpsIbWnhNtCMmXIkuQEmCtidtYgFX5K4U5aI58QQXc%252FN35FKbfFbXFI2toH0IAU1NcPxbWTFg2mNo22GS8K1wLokW%252BC9YP40NzIqfew2h8WQSBNhxDzt%252BlzWuvZob38QxCvmHRJ2bnkobo0IOGimJbQafjDfi8Am0NayPeU48eD%252B%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone 11 - 64GB - Factory Unlocked - Excellent Condition,"IDR5,714,142.86",https://www.ebay.com/itm/124894924869?epid=6034218704&_trkparms=ispr%3D1&hash=item1d14515045:g:N0MAAOSw9JVhO7M9&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnuMwvh6p2nbSlu0B76BJhP5DAPRkvf1O%252BMgZv1r%252BrSPrvk46CRksMgKD0wRFgeuWKNi3dvU23J6%252BFBrmQ5u42X%252FFxHe%252FemRa0e32TlRTjmxDrcXTukqnmR8BhIgH0tc6t9EFoq0rtLYCagEJ%252BTKvI5oDVIuf%252BhR0jRkapXNsdzVHo6gB%252BkmFGt3Gesp9zkQ9GrVqajTbP4QEqAdE0%252FfoOZU9oRKU9VEFqRwmtpDwP5Sr4EsOOVfs4B4ez0MYVo%252FbF2gCwUvSWmpG6NuCaxeGe%252BNImtQzE2WndENrfk5mAO24EOc%252BuNEpwjecfck5aV1W4CVCXPEIi6NtzfXE0%252BGNhahwy0rroLD6A4wamVLpGwZq0K1QPgzUZQZ6o5S0Vn1CUb%252F6g36bsvzltQv6TqoFFQLysqCEqnnZ%252Byio6ElyWBsx6%252FQLaqYa51f99NRzJc%252BVPQ3DtzgT9jhmxfztWxjFCJAVKhZoBEjZF10UgEAgEn87vVvzTseDBZMP6VBgeC%252FdS78ZcwsNqWq1TsQD1doiQdN%252B%252B6IBRFtq4d6W7Pnl8JmzSz0pgWFXdKBmEeKRNaJ%252FbNvK3FIGAA3zSzT4prn5WJeDzG%252BPzCXas5PTClo5fq87mtfnStjir6bZTAVxzrNKsZ6RMSDQkQwNH5qbT97ukJNa7JHD6cYlWzzv7hUSBfdFcqzPby3MEZHgmkJ79QPmhfgD5aKT3NbqN423nZZ2BgDMZOK3Vz%252F8UL5r%252FMZ%252BLcVKi6dV9S5%252B0017C3mTV4XYJqB%252BFT1%252FaxphrJZ8oD%252BBvVWM8VcfoDX7uBgcNnqFbHBv%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone X - 64GB - Factory Unlocked - Excellent Condition,"IDR3,999,857.14",https://www.ebay.com/itm/124893317985?epid=241957274&_trkparms=ispr%3D1&hash=item1d1438cb61:g:H08AAOSwBmRhOoY0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnuaWkEpw8EyNMdoY82UwtNzQLAfnnltOrrmwR2rB56IN7%252BH%252BQcML1xs2BUlzLbpokqew43kyuVbrwBKfuRCXTKicDngJFA7RhCdurUVSe1CoT9vF2GT7zdNkAuTEMOHXU2acgj49GMK6VxiW6CUNznO%252Bw0FQJrSmKFRqpHc5AAQlW0KczpLrIeARnq8ESkvbOs0da0G%252FCHnFgviBnwJ73%252FVJ8WGECCF%252BbOO%252FuQWduqlwye3pTYN2fxQEgGa1yORbHXzNUjqxbT8u8nMqz0dsslK43rYJjifRYk%252FyXpRDRZmY%252Bw6ErELrMnbGWiAEEbyF%252BpMPkqXzTl%252BjEnNyiLMyg6yQWmAS44btAjObrTWya1ut03KyaWHuNpBE62SM1epUTHEHodfW8Oyhvv5%252Bn8PW%252B1SNSDL80GqUx4aMUSexN96r5IEoU2zAbBSSvarJV2%252B0QN8RYEXQXYMb%252Fu7gwUWUXR9ytoAP%252FftKOAUBF%252FT0kykUaWQDajZf%252FQI%252FMjXLRKikuHFB3TxSiQIkHDXG0b0exz1YcvZdIp41NoTf1DaqbepFCNZ8SyL56TyiihlVoIsIcJoiSMeq5zQ8gwRmVjgHGU6l05C981XQ%252Fw%252FCkO9XAu65rfolmvUBh03fS6lOofVy3VWWgXO%252BUPoOsE00dui5EzQ9eVCvTiDPjsicoquET2qt2otrR5JhtO0CITxHLaihuxNZgeAK9Zdj%252F6Dft1PGcbOe7vsDNuOBo7XZc%252F4tBN%252BkM6%252BWMo2Y5ik4ByqtqILvhidr8TbEjsiN1TOLwLLeX188SP3fqS7SujJZEVv3hU0g%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone X - 256GB - Factory Unlocked - Very Good Condition,"IDR4,357,000.00",https://www.ebay.com/itm/124893349756?epid=21043065579&_trkparms=ispr%3D1&hash=item1d1439477c:g:H08AAOSwBmRhOoY0&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSxXDXcCydCuSj2Tq2S%252F3GnmxlWPmfeQOve7CL2L3pGLAbKc3JPeBbxJooJn9flZZ5YCt%252BM93EpYwrTCYwcY6xiRjomdVxFh%252FOZpCRvRblLthdn9CYGxnpw8VIL0n4gqfk55XwP%252BJN71NLPQGB2doTTOzVIl1R1lKKQSBg29p3NEgxhuFfMuWMvOAfoXBBiim%252BhijZpK7VuPw8sV677CtUmQqXjwThkQJUjTWwJAgxcZ1wDaIqr0ueUFBIPI0LHWOUdFuuxhxtoWwQUMJXV1j5zbmSZF3ZTSKlNweLjecZVfL%252BF7HWymHeo1%252B%252BhoFjV5b65Tld%252FFLrSJ1OXsc4C95jXX7DdudA5aTRP%252BPq9%252FhFnOmXI0cAfaOxjXQWmz4UgOzAz5VWReDApzmjzmQYF684kwMW1UvIXepgEJCkKePKBur4FWh6f7FhgLwTEm9liTcZVC5%252BmApeiLDxmOD%252BAMXkYmz8x3bkJ%252B85Uo2r%252Br0Laph5go%252Bao1mlm22ZqWKYjx0fTpZhtjeSCNciBOZ%252Br4B899pL2CqM36WUNlSYMiKBcAyDwND9FyL915ai7fj6HxPXoYZf7zRME0v0txT8Tm4lLVEW17CXag0LFa7eTwYg2fJ00WXkf9rcdD8qfGg2gaO0pdmJ6crvnqIZPa1hCxO1Z0mZ0aBUiGfn3knOlmaF7Mnn1%252B7gPX4GgjozyiUvh6fZ1z%252FHeG878x7Waxgx5c30lixDEuRvXFZZyJNdDppTT66V5EKaXO7c2A4VkqChk%252F%252BlwzRApEyyYF2wa7u8W1085f6FfdEQw1OzkLDoAfg%252BYdHDgBZF2jE28DXn5NHTD5IX%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
Apple iPhone 12 mini 256GB GSM Unlocked AT&T T-Mobile Excellent Condition,"IDR7,356,428.57",https://www.ebay.com/itm/294381042539?epid=5041723898&hash=item448a7a3b6b:g:sf8AAOSwbhJhjUzP
Apple iPhone 11 - 128GB - Factory Unlocked - Excellent Condition,"IDR6,428,428.57",https://www.ebay.com/itm/144195246961?epid=5037434398&hash=item2192b4db71:g:N0MAAOSw9JVhO7M9
Apple iPhone XR - 64GB - Factory Unlocked - Very Good Condition,"IDR3,828,428.57",https://www.ebay.com/itm/124894860851?epid=22038349508&hash=item1d14505633:g:I1QAAOSwdRVhO6Lu
Apple iPhone 8 Plus - 64GB - Factory Unlocked - Good Condition,"IDR3,214,142.86 to IDR3,357,000.00",https://www.ebay.com/itm/144193833207?epid=23024045643&hash=item21929f48f7:g:XcwAAOSw7NthOlZh
Apple iPhone X - 256GB - Factory Unlocked - Good Condition,"IDR3,856,428.57",https://www.ebay.com/itm/265511180431?epid=8037560517&hash=item3dd1b3188f:g:y4cAAOSwbn5h9Dz3
"Case For iPhone 11 12 13 PRO MAX Mini X, XR XS Shockproof Protective 360 Cover","IDR116,518.34",https://www.ebay.com/itm/255355443105?_trkparms=ispr%3D1&hash=item3b745ed7a1:g:yrsAAOSwRFZh8w9U&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838dnTvnjFaz7AZEb3ZdfhYT5Pa2AbZd8PFjNSJ8JRXM%252Fe%252BfCKwd8K08Y1M3LlVQt%252Ft5T8QvTB4dpQhOQH8sM7o99uCOV%252BRKeMZq%252BHXz0zOeNXPQCGw%252BLh8CjCqWb46bzIKNv46NuvaoDoPuvDGjK9QTne8nsTVyqs5%252F0mox2yKCh1F8HfAKIldxQ5tfv8756T8HMVpdOHXp5blzqMDh2CMMx6b516L0vpJ0Qlx5AAoPvFQDLNzpVhvOGklPxurpHDyE7pbicbP1NWg80OupoEeLdRQrLTNzitCUE21to0uDJ7rVId8%252B7v%252Bs1pQjhlBVx8fhPHE6weBaVb2biILtQUFo8sm%252Fsz44hGUkBjwD7pTBXcO2yJX5ZqCHsrz74g1%252BTK7xYFbGrt0cvgf0e%252BFzQrHpZkc9VK6b5hp2%252FpvBOtEcOKWA58hpjjiOUx1oJDYleN6xWdSg0%252FKTW63XJhSnrWZKdeYCkCpa%252FKuCeiNlL%252B6qx5vQH7PUG0PRllPipMcqumzSMxaszOypztF8e600AaO%252FWmt7W6FhBkKINsxVOURl7rxNf%252BqAT4%252BWMRKcqXJC4zUR2ULXKXZibxJGewojNL%252B6g06StW3qZj9iU7dXxkTOGnRp33CCccURT4Q2xDePkZHL1xOmIUH7JV07QInWQKRuO0hV43njcMIthYx5OQLSafTii2b20D9feqkkxBYPSnRej%252FdkX2h6CrjJDjaGF9KR%252FrtHQM5k2pUMk1C2%252FqsJgtjk89ct1a2ZYLJWYWJ6rOYRGg2egdXzxAdrSVPTFlHGj4takXL3CLcflHSJUi2bMKg%7Cclp%3A2334524%7Ctkp%3ABFBMqL-Xmt1f
